13:30:22   17.05.2016             Programme Climap                  MeteoSuisse
Heures en UTC 0040 (UTC)  =  01:40 heures Heure d'hiver  =  02:40 heures Heure d'été
Période: 01.01.2011 00:00  -  16.05.2016 00:00 UTC 32767 -> Valeur manquante
nombre de stations  2
     2	Bad Ragaz                496 m s.m.	756910/ 209351
    36	Vaduz                    457 m s.m.	757719/ 221697
nombre de paramètres  1
   211  température de l'air à 2 m du sol; moyenne journalière  [°C]

  STA JAHR MO TG HH MM   211
    2 2011 12  5  0  0   5.2 
    2 2011 12  6  0  0   2.3 
    2 2011 12  7  0  0   2.3 
    2 2011 12  8  0  0   6.3 
    2 2011 12  9  0  0   3.9 
    2 2011 12 10  0  0   6.9 
    2 2011 12 11  0  0   5.0 
    2 2011 12 12  0  0   5.4 
    2 2011 12 13  0  0   5.0 
    2 2011 12 14  0  0   8.4 
    2 2011 12 15  0  0   3.9 
    2 2011 12 16  0  0   5.3 
    2 2011 12 17  0  0   0.8 
    2 2011 12 18  0  0  -0.8 
    2 2011 12 19  0  0  -2.2 
    2 2011 12 20  0  0  -3.4 
    2 2011 12 21  0  0  -0.1 
    2 2011 12 22  0  0   0.4 
    2 2011 12 23  0  0   2.8 
    2 2011 12 24  0  0   2.8 
    2 2011 12 25  0  0   0.1 
    2 2011 12 26  0  0   0.4 
    2 2011 12 27  0  0  -1.4 
    2 2011 12 28  0  0  -1.0 
    2 2011 12 29  0  0   1.8 
    2 2011 12 30  0  0   0.1 
    2 2011 12 31  0  0   0.3 
    2 2012  1  1  0  0   4.3 
    2 2012  1  2  0  0   5.7 
    2 2012  1  3  0  0   3.7 
    2 2012  1  4  0  0   3.4 
    2 2012  1  5  0  0   1.7 
    2 2012  1  6  0  0   0.9 
    2 2012  1  7  0  0   0.6 
    2 2012  1  8  0  0   3.0 
    2 2012  1  9  0  0   2.3 
    2 2012  1 10  0  0   2.4 
    2 2012  1 11  0  0   1.3 
    2 2012  1 12  0  0   0.4 
    2 2012  1 13  0  0   0.3 
    2 2012  1 14  0  0  -0.1 
    2 2012  1 15  0  0  -4.9 
    2 2012  1 16  0  0  -5.3 
    2 2012  1 17  0  0  -4.5 
    2 2012  1 18  0  0  -0.3 
    2 2012  1 19  0  0   3.1 
    2 2012  1 20  0  0   2.3 
    2 2012  1 21  0  0   1.9 
    2 2012  1 22  0  0   4.2 
    2 2012  1 23  0  0 32767 
    2 2012  1 24  0  0 32767 
    2 2012  1 25  0  0 32767 
    2 2012  1 26  0  0 32767 
    2 2012  1 27  0  0 32767 
    2 2012  1 28  0  0 32767 
    2 2012  1 29  0  0 32767 
    2 2012  1 30  0  0 32767 
    2 2012  1 31  0  0 32767 
    2 2012  2  1  0  0 32767 
    2 2012  2  2  0  0 32767 
    2 2012  2  3  0  0 32767 
    2 2012  2  4  0  0 32767 
    2 2012  2  5  0  0 32767 
    2 2012  2  6  0  0 32767 
    2 2012  2  7  0  0 -10.4 
    2 2012  2  8  0  0 -10.0 
    2 2012  2  9  0  0  -9.1 
    2 2012  2 10  0  0  -8.5 
    2 2012  2 11  0  0  -9.2 
    2 2012  2 12  0  0 -10.7 
    2 2012  2 13  0  0  -8.7 
    2 2012  2 14  0  0  -3.1 
    2 2012  2 15  0  0   0.1 
    2 2012  2 16  0  0   1.2 
    2 2012  2 17  0  0   0.7 
    2 2012  2 18  0  0   1.0 
    2 2012  2 19  0  0   1.5 
    2 2012  2 20  0  0  -0.4 
    2 2012  2 21  0  0  -2.2 
    2 2012  2 22  0  0  -0.5 
    2 2012  2 23  0  0   2.1 
    2 2012  2 24  0  0   5.9 
    2 2012  2 25  0  0   4.9 
    2 2012  2 26  0  0   3.2 
    2 2012  2 27  0  0   2.8 
    2 2012  2 28  0  0   4.3 
    2 2012  2 29  0  0   7.6 
    2 2012  3  1  0  0   8.8 
    2 2012  3  2  0  0   9.6 
    2 2012  3  3  0  0   9.1 
    2 2012  3  4  0  0   7.7 
    2 2012  3  5  0  0   3.9 
    2 2012  3  6  0  0   2.8 
    2 2012  3  7  0  0   4.6 
    2 2012  3  8  0  0   3.6 
    2 2012  3  9  0  0   3.6 
    2 2012  3 10  0  0   3.9 
    2 2012  3 11  0  0   3.5 
    2 2012  3 12  0  0   7.2 
    2 2012  3 13  0  0   8.1 
    2 2012  3 14  0  0   8.7 
    2 2012  3 15  0  0  10.6 
    2 2012  3 16  0  0  12.0 
    2 2012  3 17  0  0  13.0 
    2 2012  3 18  0  0  10.3 
    2 2012  3 19  0  0   4.1 
    2 2012  3 20  0  0   7.3 
    2 2012  3 21  0  0  10.3 
    2 2012  3 22  0  0  13.3 
    2 2012  3 23  0  0  12.3 
    2 2012  3 24  0  0  11.6 
    2 2012  3 25  0  0  10.8 
    2 2012  3 26  0  0  11.1 
    2 2012  3 27  0  0  10.7 
    2 2012  3 28  0  0  12.2 
    2 2012  3 29  0  0  12.8 
    2 2012  3 30  0  0  10.6 
    2 2012  3 31  0  0  11.6 
    2 2012  4  1  0  0   7.6 
    2 2012  4  2  0  0  10.6 
    2 2012  4  3  0  0  14.1 
    2 2012  4  4  0  0  11.8 
    2 2012  4  5  0  0  10.0 
    2 2012  4  6  0  0   9.7 
    2 2012  4  7  0  0   7.4 
    2 2012  4  8  0  0   1.9 
    2 2012  4  9  0  0   5.5 
    2 2012  4 10  0  0  13.4 
    2 2012  4 11  0  0   6.4 
    2 2012  4 12  0  0   7.9 
    2 2012  4 13  0  0   7.1 
    2 2012  4 14  0  0   8.3 
    2 2012  4 15  0  0   7.9 
    2 2012  4 16  0  0   5.8 
    2 2012  4 17  0  0   6.8 
    2 2012  4 18  0  0   5.4 
    2 2012  4 19  0  0   8.9 
    2 2012  4 20  0  0   7.0 
    2 2012  4 21  0  0  10.0 
    2 2012  4 22  0  0   7.0 
    2 2012  4 23  0  0   9.0 
    2 2012  4 24  0  0   6.4 
    2 2012  4 25  0  0  11.5 
    2 2012  4 26  0  0  16.4 
    2 2012  4 27  0  0  19.0 
    2 2012  4 28  0  0  21.5 
    2 2012  4 29  0  0  21.2 
    2 2012  4 30  0  0  15.9 
    2 2012  5  1  0  0  15.0 
    2 2012  5  2  0  0  14.7 
    2 2012  5  3  0  0  14.2 
    2 2012  5  4  0  0  15.6 
    2 2012  5  5  0  0  12.4 
    2 2012  5  6  0  0  10.0 
    2 2012  5  7  0  0  12.1 
    2 2012  5  8  0  0  14.9 
    2 2012  5  9  0  0  16.1 
    2 2012  5 10  0  0  19.7 
    2 2012  5 11  0  0  21.6 
    2 2012  5 12  0  0  12.8 
    2 2012  5 13  0  0  10.6 
    2 2012  5 14  0  0  10.4 
    2 2012  5 15  0  0  10.5 
    2 2012  5 16  0  0   5.1 
    2 2012  5 17  0  0  10.1 
    2 2012  5 18  0  0  15.9 
    2 2012  5 19  0  0  17.0 
    2 2012  5 20  0  0  18.7 
    2 2012  5 21  0  0  16.8 
    2 2012  5 22  0  0  14.7 
    2 2012  5 23  0  0  16.5 
    2 2012  5 24  0  0  17.8 
    2 2012  5 25  0  0  17.8 
    2 2012  5 26  0  0  16.7 
    2 2012  5 27  0  0  16.3 
    2 2012  5 28  0  0  16.5 
    2 2012  5 29  0  0  17.5 
    2 2012  5 30  0  0  18.8 
    2 2012  5 31  0  0  16.9 
    2 2012  6  1  0  0  15.5 
    2 2012  6  2  0  0  18.8 
    2 2012  6  3  0  0  18.0 
    2 2012  6  4  0  0  12.3 
    2 2012  6  5  0  0  13.7 
    2 2012  6  6  0  0  14.7 
    2 2012  6  7  0  0  19.6 
    2 2012  6  8  0  0  15.6 
    2 2012  6  9  0  0  14.3 
    2 2012  6 10  0  0  13.3 
    2 2012  6 11  0  0  13.7 
    2 2012  6 12  0  0  10.9 
    2 2012  6 13  0  0  12.1 
    2 2012  6 14  0  0  14.6 
    2 2012  6 15  0  0  20.5 
    2 2012  6 16  0  0  23.7 
    2 2012  6 17  0  0  20.7 
    2 2012  6 18  0  0  23.6 
    2 2012  6 19  0  0  22.5 
    2 2012  6 20  0  0  19.8 
    2 2012  6 21  0  0  19.5 
    2 2012  6 22  0  0  17.8 
    2 2012  6 23  0  0  18.4 
    2 2012  6 24  0  0  19.4 
    2 2012  6 25  0  0  16.3 
    2 2012  6 26  0  0  15.8 
    2 2012  6 27  0  0  20.2 
    2 2012  6 28  0  0  23.6 
    2 2012  6 29  0  0  26.8 
    2 2012  6 30  0  0  28.5 
    2 2012  7  1  0  0  19.7 
    2 2012  7  2  0  0  17.8 
    2 2012  7  3  0  0  18.9 
    2 2012  7  4  0  0  19.7 
    2 2012  7  5  0  0  21.2 
    2 2012  7  6  0  0  18.2 
    2 2012  7  7  0  0  19.5 
    2 2012  7  8  0  0  20.1 
    2 2012  7  9  0  0  19.5 
    2 2012  7 10  0  0  18.7 
    2 2012  7 11  0  0  17.3 
    2 2012  7 12  0  0  16.6 
    2 2012  7 13  0  0  16.6 
    2 2012  7 14  0  0  17.2 
    2 2012  7 15  0  0  14.8 
    2 2012  7 16  0  0  15.5 
    2 2012  7 17  0  0  18.3 
    2 2012  7 18  0  0  21.6 
    2 2012  7 19  0  0  20.1 
    2 2012  7 20  0  0  16.6 
    2 2012  7 21  0  0  14.0 
    2 2012  7 22  0  0  15.0 
    2 2012  7 23  0  0  16.4 
    2 2012  7 24  0  0  20.3 
    2 2012  7 25  0  0  19.5 
    2 2012  7 26  0  0  22.8 
    2 2012  7 27  0  0  24.5 
    2 2012  7 28  0  0  19.3 
    2 2012  7 29  0  0  17.6 
    2 2012  7 30  0  0  18.3 
    2 2012  7 31  0  0  20.3 
    2 2012  8  1  0  0  23.3 
    2 2012  8  2  0  0  21.8 
    2 2012  8  3  0  0  20.3 
    2 2012  8  4  0  0  20.3 
    2 2012  8  5  0  0  20.2 
    2 2012  8  6  0  0  17.2 
    2 2012  8  7  0  0  17.3 
    2 2012  8  8  0  0  19.2 
    2 2012  8  9  0  0  19.2 
    2 2012  8 10  0  0  19.3 
    2 2012  8 11  0  0  18.4 
    2 2012  8 12  0  0  18.8 
    2 2012  8 13  0  0  20.1 
    2 2012  8 14  0  0  21.2 
    2 2012  8 15  0  0  23.2 
    2 2012  8 16  0  0  18.8 
    2 2012  8 17  0  0  20.2 
    2 2012  8 18  0  0  23.0 
    2 2012  8 19  0  0  24.3 
    2 2012  8 20  0  0  24.5 
    2 2012  8 21  0  0  23.7 
    2 2012  8 22  0  0  23.2 
    2 2012  8 23  0  0  21.3 
    2 2012  8 24  0  0  20.3 
    2 2012  8 25  0  0  19.0 
    2 2012  8 26  0  0  16.3 
    2 2012  8 27  0  0  16.9 
    2 2012  8 28  0  0  19.2 
    2 2012  8 29  0  0  20.1 
    2 2012  8 30  0  0  15.8 
    2 2012  8 31  0  0  11.3 
    2 2012  9  1  0  0  11.3 
    2 2012  9  2  0  0  15.7 
    2 2012  9  3  0  0  17.5 
    2 2012  9  4  0  0  19.1 
    2 2012  9  5  0  0  18.1 
    2 2012  9  6  0  0  17.0 
    2 2012  9  7  0  0  16.5 
    2 2012  9  8  0  0  17.6 
    2 2012  9  9  0  0  18.7 
    2 2012  9 10  0  0  18.5 
    2 2012  9 11  0  0  18.3 
    2 2012  9 12  0  0  12.1 
    2 2012  9 13  0  0   9.5 
    2 2012  9 14  0  0  10.9 
    2 2012  9 15  0  0  12.3 
